Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,180.850006,184.389999,178.229996,178.990005,178.990005,4027900
2023-01-04,182.419998,183.610001,175.630005,177.360001,177.360001,2840900
2023-01-05,174.800003,175.514008,171.600006,173.509995,173.509995,3050600
2023-01-06,174.960007,181.740005,171.399994,180.350006,180.350006,3575000
2023-01-09,181.800003,188.360001,177.270004,183.949997,183.949997,4344000
2023-01-10,182.699997,189.809998,181.503006,189.649994,189.649994,2457900
2023-01-11,188.570007,189.649994,182.667999,186.639999,186.639999,3152700
2023-01-12,186.539993,189.289993,179.149994,188.059998,188.059998,3881600
2023-01-13,185.080002,192.119995,185.050003,192.000000,192.000000,3230200
2023-01-17,187.895004,194.630005,187.639999,190.690002,190.690002,3722100
2023-01-18,200.322006,207.509995,195.020004,197.020004,197.020004,11058900
2023-01-19,196.210007,197.309998,190.320007,190.380005,190.380005,4273900
2023-01-20,190.600006,194.585007,188.520004,193.979996,193.979996,4047200
2023-01-23,192.610001,198.860001,192.210007,196.940002,196.940002,2907300
2023-01-24,195.830002,197.059998,193.214996,196.759995,196.759995,1851300
2023-01-25,194.330002,194.960007,189.750000,193.070007,193.070007,2288200
2023-01-26,194.429993,195.000000,187.550003,193.240005,193.240005,2392300
2023-01-27,191.910004,193.520004,188.279999,189.350006,189.350006,3346500
2023-01-30,187.229996,187.589996,180.639999,180.869995,180.869995,3198200
2023-01-31,176.500000,180.210007,173.779999,176.059998,176.059998,6212700
2023-02-01,174.699997,176.300003,167.279999,174.300003,174.300003,5607500
2023-02-02,173.399994,176.729996,170.509995,176.350006,176.350006,4061500
2023-02-03,172.740005,178.740005,172.399994,173.250000,173.250000,2821400
2023-02-06,171.979996,174.410004,169.669998,170.270004,170.270004,2858000
2023-02-07,170.259995,171.869995,167.029999,171.059998,171.059998,2574100
2023-02-08,169.330002,170.389999,164.149994,164.339996,164.339996,2960500
2023-02-09,167.029999,170.100006,163.190002,164.479996,164.479996,2853800
2023-02-10,164.000000,169.509995,162.649994,169.279999,169.279999,2945200
2023-02-13,168.729996,171.770004,166.009995,171.479996,171.479996,2702300
2023-02-14,170.889999,176.039993,169.289993,175.619995,175.619995,2906400
2023-02-15,173.169998,177.369995,172.449997,177.279999,177.279999,1962200
2023-02-16,173.070007,176.199997,171.589996,172.309998,172.309998,2466600
2023-02-17,163.000000,166.720001,160.660004,166.600006,166.600006,5057000
2023-02-21,165.250000,166.860001,159.490005,160.089996,160.089996,3295700
2023-02-22,160.350006,161.490005,157.000000,158.169998,158.169998,3082500
2023-02-23,153.729996,157.500000,143.718994,147.570007,147.570007,9378900
2023-02-24,140.529999,144.270004,138.210007,139.259995,139.259995,5998700
2023-02-27,139.520004,140.910004,136.720001,138.270004,138.270004,4966000
2023-02-28,138.270004,140.960007,137.369995,138.809998,138.809998,3995000
2023-03-01,138.389999,140.279999,133.660004,135.660004,135.660004,4588100
2023-03-02,135.360001,139.029999,135.339996,137.860001,137.860001,3305400
2023-03-03,138.679993,144.854996,138.149994,143.199997,143.199997,3964800
2023-03-06,143.300003,145.059998,142.630005,144.029999,144.029999,2871100
2023-03-07,143.779999,145.740005,139.679993,141.050003,141.050003,2777700
